Snippet File,Query API Pool Time,Insert Results Time,kb_reduction_time,Benchmark Time,Binding Time,Rule_time,DL_time,ans_combine_time,Snippet Time
Class_1.java,8.703788757324219,1.7255210876464844,10.458847761154175,51.943663120269775,25.459126234054565,210.24776244163513,59.69243812561035,0.0006351470947265625,280.37708377838135
Class_10.java,1.759660243988037,2.1758954524993896,3.956602096557617,37.094791412353516,19.48145055770874,63.790963649749756,16.4741268157959,0.0003173351287841797,85.78049635887146
Class_11.java,2.770364284515381,1.753377914428711,4.551943302154541,31.835309982299805,67.14323735237122,109.63139867782593,46.501450538635254,0.0004725456237792969,161.28976583480835
Class_12.java,6.016125679016113,2.1646227836608887,8.205701351165771,17.681797981262207,87.70359897613525,114.84968495368958,52.52872657775879,0.00046133995056152344,172.3564133644104
Class_13.java,2.540844202041626,1.6823954582214355,4.250489711761475,34.32451009750366,70.59665560722351,115.94659686088562,27.638039588928223,0.0004410743713378906,149.44558119773865
Class_14.java,0.6350340843200684,2.1440465450286865,2.8026771545410156,6.465270519256592,3.6530814170837402,13.297159910202026,16.284863710403442,0.00040221214294433594,37.7906973361969
Class_15.java,0.9985189437866211,2.13643479347229,3.1533684730529785,26.759668588638306,11.559154987335205,45.55963397026062,16.799254655838013,0.00021314620971679688,68.70982432365417
Class_16.java,11.355613946914673,2.1324462890625,13.50774621963501,34.979817628860474,95.80723094940186,147.0156717300415,90.84194493293762,0.00048160552978515625,243.75248074531555
Class_17.java,1.937434196472168,1.6893579959869385,3.651726484298706,31.506041288375854,71.73625016212463,110.76859927177429,32.48172640800476,0.0003399848937988281,152.18228793144226
Class_18.java,1.233870506286621,2.558619976043701,3.8219120502471924,34.15475583076477,44.1225688457489,86.41807293891907,15.801441431045532,0.00022363662719726562,110.50789189338684
Class_19.java,31.094042778015137,1.9932658672332764,33.10345721244812,34.404282331466675,71.38768601417542,143.50453090667725,39.27552556991577,0.00020003318786621094,188.48701810836792
Class_2.java,32.66679239273071,2.2624242305755615,34.96293115615845,67.59920334815979,89.30283546447754,281.5737955570221,174.28043508529663,0.0016925334930419922,461.19218277931213
Class_20.java,6.4817214012146,1.8163995742797852,8.329754829406738,61.981600522994995,100.37109732627869,175.72552251815796,70.62775349617004,0.0004601478576660156,251.46738028526306
Class_21.java,8.000679731369019,2.6233344078063965,10.656011581420898,8.17334246635437,39.774471044540405,60.100579023361206,105.89328956604004,0.0003418922424316406,170.99839329719543
Class_22.java,21.2122745513916,2.1467275619506836,23.380861282348633,48.86012125015259,33.379765033721924,117.85423731803894,64.03519415855408,0.0005540847778320312,187.18033957481384
Class_3.java,4.591885328292847,1.8284623622894287,6.454739093780518,43.27942228317261,72.21931600570679,126.27765393257141,40.151734590530396,0.0003905296325683594,171.93602538108826
Class_4.java,2.7301063537597656,2.1496760845184326,4.908090591430664,32.626269578933716,22.466238737106323,64.48504042625427,21.463253498077393,0.0002548694610595703,91.02211141586304
Class_7.java,4.494871616363525,1.3858697414398193,5.912573575973511,34.06111216545105,87.3122980594635,131.99332189559937,42.067665815353394,0.0003895759582519531,179.81920623779297
Class_9.java,4.459890842437744,1.8858044147491455,6.368862628936768,15.92653512954712,75.900475025177,102.47420883178711,31.01355743408203,0.00035381317138671875,142.44362330436707
Class_5.java,19.03079867362976,2.18835186958313,21.236610651016235,82.32253098487854,103.93766641616821,230.97123265266418,67.65490937232971,0.0004353523254394531,303.2624411582947
