Lib,Recall,Precision
android,0.9666666666666667,0.9666666666666667
gwt,0.926829268292683,0.926829268292683
hibernate,0.7037037037037037,0.7037037037037037
jdk,1.0,1.0
joda_time,1.0,1.0
xstream,0.9315068493150684,0.9315068493150684
Total,0.9131944444444444,0.9131944444444444
