Lib,DL Recall(Accuracy),Rule Accuracy,Rule Recall,Total Recall
android,0.8108,0.9429,0.8919,0.9189
gwt,0.7556,0.9048,0.8444,0.8667
hibernate,0.7193,0.9107,0.8947,0.8947
jdk,0.9815,0.9804,0.9259,0.9815
joda_time,0.9792,1.0,0.7708,1.0
xstream,0.8706,0.9277,0.9059,0.9176
Average,0.8528333333333334,0.9444166666666666,0.8722666666666666,0.9299
Total,0.8558,0.9408,0.8773,0.9294
