Lib,DL Recall(Accuracy),Rule Accuracy,Rule Recall,Total Recall
android,0.8186,1.0,0.5232,0.8945
gwt,0.9228,0.9853,0.7053,0.9614
hibernate,0.6751,0.9474,0.731,0.8731
jdk,0.9947,1.0,0.7672,1.0
joda_time,0.9447,0.9699,0.809,0.9447
xstream,0.8704,1.0,0.9259,0.9769
Average,0.87105,0.9837666666666666,0.7435999999999999,0.9417666666666666
Total,0.8723,0.9839,0.737,0.9418
