Lib,DL Recall(Accuracy),Rule Accuracy,Rule Recall,Total Recall
android,0.8186,0.9954,0.9156,0.9705
gwt,0.9228,0.9847,0.9018,0.986
hibernate,0.6701,0.9482,0.9289,0.9391
jdk,0.9947,1.0,0.9735,1.0
joda_time,0.9447,0.9718,0.8643,0.9598
xstream,0.8704,0.9815,0.9815,0.9815
Average,0.8702166666666667,0.9802666666666667,0.9276,0.9728166666666667
Total,0.8715,0.9808,0.9259,0.9735
