Lib,DL Recall(Accuracy),Rule Accuracy,Rule Recall,Total Recall
android,0.7027,0.9429,0.8919,0.9189
gwt,0.6889,0.878,0.8,0.8444
hibernate,0.386,0.8929,0.8772,0.8772
jdk,0.9074,0.9804,0.9259,0.963
joda_time,0.6667,0.9459,0.7292,0.8542
xstream,0.5647,0.9277,0.9059,0.9176
Average,0.6527333333333334,0.9279666666666667,0.8550166666666666,0.8958833333333334
Total,0.638,0.9274,0.862,0.8988
