Dataset,Lib,Recall
StatType-SO,android,0.970464135
StatType-SO,gwt,0.989473684
StatType-SO,hibernate,0.959390863
StatType-SO,joda_time,0.964824121
StatType-SO,jdk,1
StatType-SO,xstream,0.99537037
StatType-SO,Average,0.979920529
,,
,,
Short-SO,android,0.918918919
Short-SO,gwt,0.888888889
Short-SO,hibernate,0.894736842
Short-SO,joda_time,1
Short-SO,jdk,0.981481481
Short-SO,xstream,0.917647059
Short-SO,Average,0.933612198
