Lib,DL Recall(Accuracy),Rule Accuracy,Rule Recall,Total Recall
android,0.8108,0.9429,0.8919,0.9189
gwt,0.7333,0.9091,0.6667,0.8222
hibernate,0.7193,0.9273,0.8947,0.8947
jdk,0.9815,0.9804,0.9259,0.9815
joda_time,0.9792,1.0,0.7708,1.0
xstream,0.8706,0.9559,0.7647,0.9176
Average,0.8491166666666666,0.9526,0.8191166666666668,0.9224833333333334
Total,0.8528,0.9534,0.816,0.9233
