Lib,DL Recall(Accuracy),Rule Accuracy,Rule Recall,Total Recall
android_summary_iter2.csv,0.7764,1.0,0.3966,0.8059
gwt_summary_iter2.csv,0.9158,0.9832,0.6175,0.9368
hibernate_summary_iter2.csv,0.6396,0.9333,0.4975,0.6701
jdk_summary_iter2.csv,0.9841,1.0,0.7619,0.9947
joda_time_summary_iter2.csv,0.9447,0.9819,0.8191,0.9548
xstream_summary_iter2.csv,0.8565,1.0,0.7824,0.8796
Average,0.8528500000000001,0.9830666666666668,0.6458333333333334,0.8736499999999999
Total,0.8541,0.9848,0.6379,0.8753
