Lib,SnR Precision,SnR Recall
android,0.9429,0.8919
gwt,0.878,0.8
hibernate,0.8929,0.8772
jdk,0.9804,0.9259
joda_time,0.9459,0.7292
xstream,0.9277,0.9059
Total,0.9274,0.862
