Lib,SnR Precision,SnR Recall
android,0.9954,0.9156
gwt,0.9685,0.8632
hibernate,0.9585,0.9391
jdk,1,0.9683
joda_time,0.9483,0.8291
xstream,0.9116,0.9074
Total,0.9636,0.901
