Snippet File,Query API Pool Time,Insert Results Time,kb_reduction_time,Benchmark Time,Binding Time,Rule_time,DL_time,ans_combine_time,Snippet Time
xstream_class_1.java,17.564096212387085,2.6546671390533447,2.0018277168273926,63.367913484573364,76.15145087242126,238.02048993110657,39.78260040283203,0.00043272972106933594,286.40480375289917
xstream_class_10.java,3.110172748565674,2.0269887447357178,5.166839838027954,32.789711713790894,18.72435760498047,60.28708076477051,22.60301446914673,0.00027823448181152344,91.68820285797119
xstream_class_11.java,3.260406970977783,2.6408040523529053,5.916433095932007,46.04654264450073,25.894930839538574,82.61929488182068,35.5828857421875,0.0005328655242919922,123.8980815410614
xstream_class_12.java,1.9345333576202393,3.59554386138916,0.8331742286682129,37.355534076690674,29.42371106147766,74.96504139900208,41.18258190155029,0.00047850608825683594,121.07475471496582
xstream_class_13.java,0.6331400871276855,2.0780532360076904,2.733607292175293,14.565446853637695,10.70695686340332,29.135403633117676,16.608932971954346,0.00027298927307128906,50.741928577423096
xstream_class_14.java,0.6365237236022949,2.0669755935668945,2.7317628860473633,7.108832597732544,70.33467674255371,80.58369398117065,13.26528000831604,0.00030922889709472656,99.87893390655518
xstream_class_16.java,0.28656911849975586,1.9263107776641846,2.2299187183380127,7.825720548629761,11.515342950820923,22.021526098251343,15.110735893249512,0.0002884864807128906,45.02601957321167
xstream_class_17.java,3.298513174057007,2.353020191192627,1.322981834411621,53.00134086608887,44.9891197681427,111.7371289730072,47.83406686782837,0.0005733966827392578,165.67589688301086
xstream_class_18.java,2.5537827014923096,3.768045663833618,2.057636022567749,62.81574368476868,79.45120048522949,159.55940961837769,55.124449014663696,0.0007309913635253906,219.92641949653625
xstream_class_19.java,0.8044545650482178,2.7694895267486572,0.8009366989135742,19.73858380317688,12.442596197128296,37.93547010421753,34.682807207107544,0.0005671977996826172,77.37604761123657
xstream_class_2.java,3.6552486419677734,1.8223199844360352,5.506761789321899,12.52963900566101,12.41018533706665,34.035866498947144,41.09930086135864,0.0004184246063232422,80.4525785446167
