Method,Dataset,#Dataset Snippets,#100% Recall Snippets,100% Recall Percentage,#100% Precision Snippets,100% Precision Percentage
iJTyper,StatType-SO,268,231,86.2%,231,86.2%
ChatGPT,StatType-SO,268,219,81.7%,219,81.7%
SnR,StatType-SO,268,55,20.5%,220,82.1%
MLMTyper,StatType-SO,268,177,66.0%,177,66.0%
iJTyper,Short-SO,120,86,71.7%,86,71.7%
ChatGPT,Short-SO,120,88,73.3%,88,73.3%
SnR,Short-SO,120,39,32.5%,83,69.2%
MLMTyper,Short-SO,120,71,59.2%,71,59.2%
