Library,StatType-SO,,,,,Short-SO,,,
,MLMTyper,SnR,ChatGPT,iJTyper,,MLMTyper,SnR,ChatGPT,iJTyper
Android,0.81,0.93,0.99,0.98,,0.81,0.86,0.97,0.91
GWT,0.87,0.88,0.98,0.99,,0.79,0.84,0.95,0.91
Hibernate,0.67,0.96,0.91,0.95,,0.61,0.92,0.71,0.94
JDK,0.93,0.92,1,1,,0.95,0.93,1,0.99
Joda Time,0.7,0.85,0.99,0.97,,0.75,0.75,1,1
XStream,0.68,0.92,0.91,0.98,,0.69,0.92,0.93,0.93
Average,0.77***,0.91***,0.96*,0.98,,0.77***,0.87***,0.93,0.94
"***p<0.001, **p<0.01, *p<0.05",,,,,,,,,
