Snippet File,Query API Pool Time,Insert Results Time,Benchmark Time,Binding Time,Rule_time,DL_time,Snippet Time
hb1.java,3.207259178161621,2.3725955486297607,10.340343952178955,5.8012590408325195,22.514360427856445,20.42560338973999,51.26781463623047
hb10.java,4.92263126373291,2.1028051376342773,9.271485567092896,16.620655298233032,34.57086992263794,42.47562837600708,82.06401801109314
hb11.java,9.0764799118042,1.612391710281372,10.034471035003662,5.862886428833008,28.0679132938385,35.05233931541443,67.68230652809143
hb12.java,9.444173097610474,2.413276195526123,19.76968812942505,76.65434002876282,109.46026873588562,77.0767650604248,190.86362981796265
hb13.java,5.266518831253052,1.7143759727478027,11.310539722442627,16.79453754425049,35.864306926727295,40.155890226364136,81.37994265556335
hb14.java,5.258708477020264,1.451711654663086,18.264501571655273,66.73341536521912,97.44545125961304,31.83978033065796,133.82966923713684
hb15.java,13.012099027633667,3.220731496810913,6.624777555465698,11.911691427230835,45.5930540561676,23.267011880874634,77.18869996070862
hb16.java,6.738435745239258,1.5888066291809082,6.583752632141113,76.84780502319336,92.59744691848755,47.567285776138306,145.64713859558105
hb17.java,7.062525272369385,1.9211022853851318,11.213004112243652,16.31061601638794,37.78359127044678,63.775962352752686,162.91373801231384
hb18.java,2.885406970977783,1.982206106185913,17.780111074447632,7.8049352169036865,32.50324726104736,31.358575582504272,68.60797333717346
hb19.java,3.0404045581817627,2.0554182529449463,11.111222267150879,72.95779585838318,89.95400881767273,44.684396266937256,139.36223983764648
hb2.java,5.078903436660767,3.2731127738952637,6.438403367996216,13.187368154525757,30.024891138076782,38.87485456466675,75.00082850456238
hb20.java,4.854754209518433,2.0343711376190186,7.096059083938599,65.28929018974304,79.55539655685425,43.59206509590149,128.02111434936523
hb4.java,2.2651591300964355,1.6295251846313477,10.538645267486572,5.7489142417907715,20.924817085266113,19.811113834381104,51.025853395462036
hb5.java,4.853135108947754,1.5892572402954102,10.398241758346558,66.04583382606506,83.5454363822937,36.333924531936646,125.19876980781555
hb6.java,1.8774352073669434,1.7758448123931885,10.52149486541748,5.134677886962891,20.56094527244568,27.325708389282227,93.10674047470093
hb7.java,2.151026725769043,1.5977845191955566,13.478206396102905,65.5544261932373,83.67178559303284,36.56089949607849,125.32357883453369
hb8.java,1.0170717239379883,2.1829538345336914,11.113186120986938,65.15646195411682,80.32689380645752,18.752442836761475,107.43443250656128
hb9.java,3.587225914001465,1.918855905532837,11.026261568069458,6.674988031387329,23.859865427017212,21.099162578582764,53.23432397842407
