Lib,DL Recall(Accuracy),Rule Accuracy,Rule Recall,Total Recall
android_summary_iter1.csv,0.8108,0.9429,0.8919,0.9189
gwt_summary_iter1.csv,0.7556,0.878,0.8,0.8444
hibernate_summary_iter1.csv,0.7193,0.8929,0.8772,0.8772
jdk_summary_iter1.csv,0.9815,0.9804,0.9259,0.9815
joda_time_summary_iter1.csv,0.9792,0.9459,0.7292,0.9583
xstream_summary_iter1.csv,0.8706,0.9277,0.9059,0.9176
Average,0.8528333333333334,0.9279666666666667,0.8550166666666666,0.9163166666666668
Total,0.8558,0.9274,0.862,0.9172
