Snippet File,Query API Pool Time,Insert Results Time,Benchmark Time,Binding Time,Rule_time,DL_time,Snippet Time
gwt_class_1.java,8.189488649368286,1.470583200454712,28.2927836894989,40.33463506698608,89.30470724105835,44.56867632865906,147.83107213974
gwt_class_10.java,12.87412371635437,1.555939245223999,34.56868176460266,50.640004777908324,146.00547919273376,82.9171284198761,247.67082748413085
gwt_class_11.java,6.414188098907471,1.4684524536132812,41.29752488136292,20.682213973999023,128.89960131645202,51.93624725341797,193.00301160812378
gwt_class_12.java,6.232067728042603,1.4607202053070067,49.30696678161621,44.578224420547485,98.77626399993896,98.59360055923462,209.42455401420594
gwt_class_13.java,4.350156354904175,1.426948118209839,26.51470227241516,23.672495889663697,53.87204899787903,61.553332233428954,130.01938757896423
gwt_class_14.java,5.1639711380004885,1.5319758892059325,6.856952285766601,52.914983654022215,61.22387380599976,56.56209063529968,128.64766292572023
gwt_class_15.java,6.875566196441651,1.538860273361206,19.70508942604065,50.62034845352173,72.43879189491273,93.09220628738403,178.03994631767273
gwt_class_16.java,3.160189914703369,1.5187918186187743,35.706258869171144,38.86943521499634,78.73779788017274,71.413361120224,159.7154185771942
gwt_class_18.java,5.060661554336548,1.4628665447235107,11.813587522506714,10.758202838897706,23.53494563102722,44.90997200012207,79.29858546257019
gwt_class_19.java,2.4219508171081543,1.7017158031463624,36.14555134773254,55.00182423591614,95.99191017150879,71.44445142745971,175.75089840888978
gwt_class_20.java,4.105627727508545,1.559504508972168,7.415832042694092,25.431234312057494,36.287887239456175,49.472452354431155,99.79237914085388
gwt_class_21.java,5.029863500595093,1.5955398082733154,26.754103899002075,48.36171770095825,90.53941435813904,96.64497098922729,197.88533234596252
gwt_class_22.java,8.564016103744507,1.4851345539093017,39.77412514686584,38.819537496566774,84.24956521987914,174.46703600883484,272.99618501663207
gwt_class_24.java,7.0725785255432125,1.6513485431671142,19.208573579788208,53.714759540557864,80.46214566230773,93.75245423316956,187.80074348449708
gwt_class_27.java,5.7719324111938475,1.382763385772705,7.3595374584197994,30.80923557281494,39.46206703186035,53.85937080383301,108.3279086112976
gwt_class_28.java,8.541324758529663,1.676816463470459,15.539392900466918,64.42762784957885,80.91017637252807,135.31131939888002,230.54023900032044
gwt_class_29.java,4.895073652267456,1.4744848251342773,12.84384503364563,34.82613000869751,48.599887943267824,68.26995573043823,127.48070397377015
gwt_class_3.java,6.199235248565674,1.5278830528259277,7.3226813793182375,54.61143026351929,64.1412136554718,93.55464515686035,169.58120274543762
gwt_class_30.java,6.0077714920043945,1.3333562850952148,22.102056550979615,33.823515272140504,71.94991245269776,94.05142922401429,177.65903697013854
gwt_class_31.java,4.263930606842041,1.522769021987915,18.284303617477416,14.580349779129028,34.50564775466919,58.76942343711853,122.41094331741333
gwt_class_32.java,3.3039262294769287,1.6029277324676514,7.66960186958313,76.84169144630432,85.4849404335022,78.13582439422608,172.5930571079254
gwt_class_35.java,7.412447786331176,1.45350341796875,20.45783100128174,15.993390893936157,41.775305604934694,48.3850417137146,107.13739576339722
gwt_class_36.java,3.9035040855407717,1.490509843826294,39.16330671310425,60.463503789901736,109.92927498817444,58.94299492835999,178.3768769264221
gwt_class_37.java,7.309092664718628,1.488129234313965,7.816840791702271,62.956806135177615,71.77087535858155,114.20790643692017,204.16957774162293
gwt_class_38.java,6.242258834838867,1.5642497062683105,18.17968144416809,14.024420499801636,34.277805709838866,63.211853647232054,109.53895807266235
gwt_class_39.java,11.44008002281189,1.370878267288208,21.59384970664978,57.01351909637451,83.73700685501099,71.74911284446716,172.1180169582367
gwt_class_4.java,3.227736711502075,1.5236944675445556,29.24963355064392,12.333943128585815,45.85858936309815,39.321640205383304,94.47512412071228
gwt_class_40.java,7.888571739196777,1.94576153755188,45.27335677146912,30.56240224838257,94.64720044136047,138.1323390007019,246.8022355556488
gwt_class_41.java,13.174143934249878,10.0810311794281,233.581463766098,68.42893099784851,452.84374194145204,179.15249371528625,677.1779774188996
gwt_class_42.java,1.1957754135131835,1.477037525177002,7.478031826019287,61.324834775924685,69.78268971443177,82.62513489723206,159.45570688247682
gwt_class_43.java,7.7412200450897215,2.1708076000213623,61.61028456687927,40.30379667282104,246.44263043403626,82.85429525375366,346.85732436180115
gwt_class_44.java,8.976057004928588,1.5275773525238037,7.287140369415283,28.991144800186156,39.074059104919435,98.99896636009217,152.63796610832213
gwt_class_45.java,7.508475351333618,1.4629541873931884,7.351390981674195,24.405036401748657,34.48069381713867,59.357674741744994,107.09899654388428
gwt_class_46.java,7.420931100845337,1.4489374160766602,41.917825651168826,51.78840160369873,116.86567125320434,57.70358972549438,187.65135588645936
gwt_class_47.java,6.496821498870849,1.6133152961730957,18.821650743484497,12.158853673934937,33.18593015670776,83.70127182006836,153.48520579338074
gwt_class_48.java,4.8595483779907225,1.5183807849884032,7.2212728500366214,13.210683488845826,21.43249487876892,45.70177149772644,77.53889594078063
gwt_class_49.java,7.435084438323974,1.5063735008239747,7.553987312316894,80.10229768753052,89.38226161003112,107.41510610580444,209.79437165260316
gwt_class_5.java,2.74560227394104,1.5502766609191894,7.056968688964844,17.498007392883302,24.869914102554322,64.48994626998902,97.80597100257873
gwt_class_50.java,18.455072927474976,2.395143461227417,17.66324610710144,43.97898688316345,65.7452941417694,259.4960747718811,357.1524160861969
gwt_class_6.java,2.6326990127563477,1.4690156936645509,17.844042778015137,29.387212562561036,49.23919711112976,107.65070915222168,165.11260824203492
gwt_class_7.java,7.158624315261841,1.4810239315032958,22.603260564804078,26.26460542678833,58.501517629623415,70.22979130744935,141.58859224319457
