"id","class_id","interface"
"117","294","com/sun/corba/se/spi/legacy/connection/LegacyServerSocketEndPointInfo"
"118","295","com/sun/corba/se/spi/legacy/connection/LegacyServerSocketManager"
"119","310","com/sun/corba/se/spi/monitoring/MonitoredAttributeInfoFactory"
"120","311","com/sun/corba/se/spi/monitoring/MonitoredAttributeInfo"
"121","312","com/sun/corba/se/spi/monitoring/MonitoredObjectFactory"
"122","313","com/sun/corba/se/spi/monitoring/MonitoredObject"
"123","314","com/sun/corba/se/spi/monitoring/MonitoringManagerFactory"
"124","315","com/sun/corba/se/spi/monitoring/MonitoringManager"
"125","321","com/sun/corba/se/impl/naming/cosnaming/NamingContextDataStore"
"126","325","com/sun/corba/se/impl/naming/cosnaming/NamingContextDataStore"
"127","331","com/sun/corba/se/impl/naming/namingutil/INSURL"
"128","334","java/io/Serializable"
"129","335","java/io/Serializable"
"130","338","com/sun/corba/se/impl/naming/cosnaming/NamingContextDataStore"
"131","338","java/io/Serializable"
"132","340","org/omg/PortableServer/ServantLocator"
"133","341","com/sun/corba/se/spi/oa/NullServant"
"134","348","org/omg/PortableServer/portable/Delegate"
"135","350","org/omg/PortableServer/Current"
"136","351","com/sun/corba/se/spi/oa/ObjectAdapterFactory"
"137","352","org/omg/PortableServer/POA"
"138","353","org/omg/PortableServer/POAManager"
"139","355","com/sun/corba/se/impl/oa/poa/POAPolicyMediator"
"140","364","org/omg/PortableServer/RequestProcessingPolicy"
"141","366","com/sun/corba/se/spi/oa/ObjectAdapter"
"142","367","com/sun/corba/se/spi/oa/ObjectAdapterFactory"
"143","368","com/sun/corba/se/impl/oa/toa/TOA"
"144","371","com/sun/corba/se/spi/orb/DataCollector"
"145","377","com/sun/corba/se/spi/orb/ORBConfigurator"
"146","378","com/sun/corba/se/spi/orb/ORBData"
"147","380","com/sun/corba/se/spi/orb/ORBVersion"
"148","383","com/sun/corba/se/impl/orb/ParserAction"
"149","385","com/sun/corba/se/spi/orb/ParserData"
"150","386","com/sun/corba/se/spi/orb/Operation"
"151","387","com/sun/corba/se/pept/transport/Acceptor"
"152","388","com/sun/corba/se/pept/transport/Acceptor"
"153","389","com/sun/corba/se/impl/oa/poa/BadServerIdHandler"
"154","390","com/sun/corba/se/spi/transport/CorbaContactInfoListFactory"
"155","391","com/sun/corba/se/spi/transport/IIOPPrimaryToContactInfo"
"156","392","com/sun/corba/se/spi/transport/IORToSocketInfo"
"157","394","org/omg/PortableInterceptor/ORBInitializer"
"158","393","com/sun/corba/se/spi/legacy/connection/ORBSocketFactory"
"159","395","org/omg/PortableInterceptor/ORBInitializer"
"160","396","com/sun/corba/se/spi/transport/ORBSocketFactory"
"161","404","java/security/PrivilegedAction"
"162","412","java/io/Serializable"
"163","415","com/sun/corba/se/impl/orbutil/RepositoryIdStrings"
"164","415","com/sun/corba/se/impl/orbutil/RepositoryIdUtility"
"165","415","com/sun/corba/se/impl/orbutil/RepositoryIdInterface"
"166","421","com/sun/corba/se/spi/orbutil/closure/Closure"
"167","422","com/sun/corba/se/spi/orbutil/closure/Closure"
"168","424","com/sun/corba/se/impl/orbutil/concurrent/Sync"
"169","425","com/sun/corba/se/impl/orbutil/concurrent/Sync"
"170","426","com/sun/corba/se/impl/orbutil/concurrent/Sync"
"171","432","com/sun/corba/se/spi/orbutil/fsm/StateEngine"
"172","433","java/util/Set"
"173","434","com/sun/corba/se/impl/orbutil/graph/Graph"
"174","438","com/sun/corba/se/spi/orbutil/threadpool/ThreadPoolManager"
"175","437","com/sun/corba/se/spi/orbutil/threadpool/ThreadPool"
"176","440","com/sun/corba/se/spi/orbutil/threadpool/WorkQueue"
"177","446","com/sun/corba/se/impl/presentation/rmi/DynamicMethodMarshallerImpl$ReaderWriter"
"178","447","com/sun/corba/se/spi/presentation/rmi/DynamicMethodMarshaller"
"179","448","com/sun/corba/se/spi/presentation/rmi/DynamicStub"
"180","448","java/io/Serializable"
"181","451","com/sun/corba/se/impl/presentation/rmi/ExceptionHandlerImpl$ExceptionRW"
"182","454","com/sun/corba/se/impl/presentation/rmi/ExceptionHandler"
"183","455","com/sun/corba/se/spi/presentation/rmi/IDLNameTranslator"
"184","459","com/sun/corba/se/spi/orbutil/proxy/InvocationHandlerFactory"
"185","460","com/sun/corba/se/spi/presentation/rmi/PresentationManager$ClassData"
"186","461","com/sun/corba/se/spi/presentation/rmi/PresentationManager"
"187","462","javax/rmi/CORBA/Tie"
"188","464","com/sun/corba/se/spi/presentation/rmi/PresentationManager$StubFactory"
"189","466","com/sun/corba/se/spi/presentation/rmi/PresentationManager$StubFactoryFactory"
"190","468","java/security/PrivilegedAction"
"191","473","com/sun/corba/se/spi/orbutil/proxy/LinkedInvocationHandler"
"192","475","com/sun/corba/se/spi/protocol/CorbaServerRequestDispatcher"
"193","477","com/sun/corba/se/pept/protocol/ClientRequestDispatcher"
"194","478","com/sun/corba/se/pept/protocol/ClientInvocationInfo"
"195","479","com/sun/corba/se/spi/protocol/CorbaMessageMediator"
"196","479","com/sun/corba/se/spi/protocol/CorbaProtocolHandler"
"197","479","com/sun/corba/se/impl/protocol/giopmsgheaders/MessageHandler"
"198","480","com/sun/corba/se/spi/protocol/CorbaServerRequestDispatcher"
"199","482","com/sun/corba/se/spi/protocol/CorbaServerRequestDispatcher"
"200","485","com/sun/corba/se/spi/protocol/LocalClientRequestDispatcher"
"201","487","com/sun/corba/se/spi/protocol/LocalClientRequestDispatcher"
"202","490","com/sun/corba/se/spi/protocol/RequestDispatcherRegistry"
"203","495","com/sun/corba/se/impl/protocol/giopmsgheaders/Message"
"204","496","com/sun/corba/se/impl/protocol/giopmsgheaders/CancelRequestMessage"
"205","497","com/sun/corba/se/impl/protocol/giopmsgheaders/CancelRequestMessage"
"206","499","com/sun/corba/se/impl/protocol/giopmsgheaders/Message"
"207","498","com/sun/corba/se/impl/protocol/giopmsgheaders/CancelRequestMessage"
"208","500","com/sun/corba/se/impl/protocol/giopmsgheaders/FragmentMessage"
"209","501","com/sun/corba/se/impl/protocol/giopmsgheaders/FragmentMessage"
"210","502","org/omg/CORBA/portable/IDLEntity"
"211","505","com/sun/corba/se/impl/protocol/giopmsgheaders/Message"
"212","506","com/sun/corba/se/impl/protocol/giopmsgheaders/LocateReplyMessage"
"213","507","com/sun/corba/se/impl/protocol/giopmsgheaders/LocateReplyMessage"
"214","505","com/sun/corba/se/impl/protocol/giopmsgheaders/LocateReplyOrReplyMessage"
"215","508","com/sun/corba/se/impl/protocol/giopmsgheaders/LocateReplyMessage"
"216","509","com/sun/corba/se/impl/protocol/giopmsgheaders/Message"
"217","510","com/sun/corba/se/impl/protocol/giopmsgheaders/Message"
"218","511","com/sun/corba/se/impl/protocol/giopmsgheaders/LocateRequestMessage"
"219","512","com/sun/corba/se/impl/protocol/giopmsgheaders/LocateRequestMessage"
"220","513","com/sun/corba/se/impl/protocol/giopmsgheaders/LocateRequestMessage"
"221","515","com/sun/corba/se/impl/protocol/giopmsgheaders/Message"
"222","522","com/sun/corba/se/impl/protocol/giopmsgheaders/Message"
"223","523","com/sun/corba/se/impl/protocol/giopmsgheaders/ReplyMessage"
"224","522","com/sun/corba/se/impl/protocol/giopmsgheaders/LocateReplyOrReplyMessage"
"225","524","com/sun/corba/se/impl/protocol/giopmsgheaders/ReplyMessage"
"226","525","com/sun/corba/se/impl/protocol/giopmsgheaders/ReplyMessage"
"227","526","com/sun/corba/se/impl/protocol/giopmsgheaders/Message"
"228","527","com/sun/corba/se/impl/protocol/giopmsgheaders/RequestMessage"
"229","528","com/sun/corba/se/impl/protocol/giopmsgheaders/RequestMessage"
"230","529","com/sun/corba/se/impl/protocol/giopmsgheaders/RequestMessage"
"231","530","org/omg/CORBA/portable/IDLEntity"
"232","532","com/sun/corba/se/spi/resolver/Resolver"
"233","533","com/sun/corba/se/spi/resolver/Resolver"
"234","534","com/sun/corba/se/spi/resolver/Resolver"
"235","535","com/sun/corba/se/spi/orb/Operation"
"236","536","com/sun/corba/se/spi/resolver/LocalResolver"
"237","537","com/sun/corba/se/spi/resolver/Resolver"
"238","538","com/sun/corba/se/spi/resolver/Resolver"
"239","539","com/sun/corba/se/spi/resolver/LocalResolver"
"240","542","com/sun/corba/se/spi/transport/CorbaContactInfo"
"241","541","com/sun/corba/se/pept/transport/ByteBufferPool"
"242","540","com/sun/corba/se/pept/transport/ConnectionCache"
"243","543","com/sun/corba/se/spi/transport/CorbaContactInfoList"
"244","540","com/sun/corba/se/spi/transport/CorbaConnectionCache"
"245","544","com/sun/corba/se/spi/transport/CorbaContactInfoListIterator"
"246","545","com/sun/corba/se/pept/transport/InboundConnectionCache"
"247","546","com/sun/corba/se/pept/transport/OutboundConnectionCache"
"248","548","com/sun/corba/se/spi/transport/CorbaTransportManager"
"249","547","com/sun/corba/se/spi/transport/CorbaResponseWaitingRoom"
"250","549","com/sun/corba/se/spi/transport/IORToSocketInfo"
"251","550","com/sun/corba/se/spi/transport/ORBSocketFactory"
"252","551","com/sun/corba/se/pept/transport/EventHandler"
"253","552","com/sun/corba/se/pept/transport/ListenerThread"
"254","553","com/sun/corba/se/spi/transport/ReadTimeouts"
