Snippet File,Query API Pool Time,Insert Results Time,kb_reduction_time,Benchmark Time,Binding Time,Rule_time,DL_time,ans_combine_time,Snippet Time
hb1.java,0.9671163558959961,2.210566997528076,3.2065603733062744,13.325591564178467,5.683332681655884,23.339690685272217,13.973628997802734,0.00025272369384765625,44.19765543937683
hb10.java,2.102088451385498,3.314171552658081,1.3060200214385986,9.737372159957886,74.07339096069336,91.6026291847229,24.769149780273438,0.0002791881561279297,122.01025390625
hb11.java,4.415996313095093,2.4748730659484863,6.916630029678345,10.775076150894165,6.388262033462524,26.141239881515503,19.894867420196533,0.0002243518829345703,134.2624969482422
hb12.java,3.920088052749634,2.9234094619750977,1.0788671970367432,21.636226892471313,30.645636558532715,61.1219596862793,34.58107376098633,0.0004794597625732422,100.86103463172913
hb13.java,1.9343540668487549,1.8140020370483398,3.7632040977478027,11.635046482086182,16.92125153541565,33.5319185256958,19.997584581375122,0.0002448558807373047,58.40273833274841
hb14.java,1.8364951610565186,2.012801170349121,3.871309757232666,19.24904179573059,67.3400616645813,97.27597761154175,18.289366245269775,0.00029587745666503906,121.0002555847168
hb15.java,1.4291505813598633,2.6935837268829346,4.139260292053223,6.838542699813843,11.827112913131714,34.57662510871887,14.418506622314453,0.0003495216369628906,57.24565243721008
hb16.java,2.368048906326294,2.0789239406585693,4.467252254486084,7.050901651382446,18.89339280128479,31.891539812088013,22.833807706832886,0.00023221969604492188,60.70509648323059
hb17.java,3.6859090328216553,1.9362785816192627,5.660210847854614,12.93882155418396,76.03189206123352,96.35002088546753,25.517390489578247,0.00034809112548828125,127.69803404808044
hb18.java,0.5259547233581543,2.2730324268341064,2.8146395683288574,19.109822273254395,8.232783555984497,33.5115225315094,17.801848649978638,0.0003056526184082031,97.83017587661743
hb19.java,0.4283630847930908,1.7644033432006836,2.2220656871795654,11.714667558670044,15.864957332611084,30.921667098999023,19.743940591812134,0.0003006458282470703,56.57284760475159
hb2.java,1.647050380706787,1.814661979675293,3.4782888889312744,7.030840158462524,71.87656474113464,85.14188480377197,21.1349937915802,0.00027489662170410156,112.61182188987732
hb20.java,2.3352231979370117,2.790987253189087,5.1559388637542725,11.249322891235352,5.930691957473755,24.33748769760132,21.287416458129883,0.00029397010803222656,107.49038481712341
hb4.java,0.25708794593811035,1.9707298278808594,2.256993532180786,11.441021919250488,5.993144512176514,20.79607319831848,14.561992883682251,0.0003879070281982422,46.3434853553772
hb5.java,1.4144375324249268,2.240422487258911,3.6831986904144287,11.231685876846313,6.580604314804077,22.887691736221313,19.43596577644348,0.0002875328063964844,48.47787094116211
hb6.java,0.03263378143310547,2.1753971576690674,2.2286877632141113,13.819410562515259,5.826310157775879,23.00394916534424,15.774470090866089,0.00035881996154785156,44.60952281951904
hb7.java,0.03962373733520508,1.5853626728057861,1.6409904956817627,11.838752508163452,6.792627334594727,21.576020002365112,18.287192583084106,0.00028324127197265625,45.661558866500854
hb8.java,0.04364919662475586,2.69140887260437,2.7626430988311768,12.090280771255493,65.73930096626282,81.72892093658447,13.550867319107056,0.00031113624572753906,101.44498467445374
hb9.java,1.2582099437713623,1.669769525527954,2.9558663368225098,11.440507411956787,6.988029956817627,22.54317021369934,14.989419221878052,0.00046181678771972656,45.25405478477478
